address,2022-3-6_quezhen,2022-3-6_wuzhengzhuang,2022-3-7_quezhen,2022-3-7_wuzhengzhuang,2022-3-8_quezhen,2022-3-8_wuzhengzhuang,2022-3-9_quezhen,2022-3-9_wuzhengzhuang,2022-3-10_quezhen,2022-3-10_wuzhengzhuang,2022-3-11_quezhen,2022-3-11_wuzhengzhuang,2022-3-12_quezhen,2022-3-12_wuzhengzhuang,2022-3-13_quezhen,2022-3-13_wuzhengzhuang,2022-3-14_quezhen,2022-3-14_wuzhengzhuang,2022-3-15_quezhen,2022-3-15_wuzhengzhuang,2022-3-16_quezhen,2022-3-16_wuzhengzhuang,2022-3-17_quezhen,2022-3-17_wuzhengzhuang,2022-3-18_quezhen,2022-3-18_wuzhengzhuang,2022-3-19_quezhen,2022-3-19_wuzhengzhuang,2022-3-20_quezhen,2022-3-20_wuzhengzhuang,2022-3-21_quezhen,2022-3-21_wuzhengzhuang,2022-3-22_quezhen,2022-3-22_wuzhengzhuang,2022-3-23_quezhen,2022-3-23_wuzhengzhuang,2022-3-24_quezhen,2022-3-24_wuzhengzhuang,2022-3-25_quezhen,2022-3-25_wuzhengzhuang,2022-3-26_quezhen,2022-3-26_wuzhengzhuang,2022-3-27_quezhen,2022-3-27_wuzhengzhuang,2022-3-28_quezhen,2022-3-28_wuzhengzhuang,2022-3-29_quezhen,2022-3-29_wuzhengzhuang,2022-3-30_quezhen,2022-3-30_wuzhengzhuang,2022-3-31_quezhen,2022-3-31_wuzhengzhuang
Shanghai,3,45,4,51,3,62,4,76,11,64,5,78,1,64,41,128,9,130,5,197,8,150,57,203,8,366,17,492,24,734,31,865,4,977,4,979,29,1580,38,2231,45,2631,50,3450,96,4381,326,5656,355,5298,358,4144
PudongNew,1,2,0,4,0,3,1,8,4,6,0,9,0,34,5,34,1,22,2,40,0,44,24,11,2,65,8,127,1,219,6,163,0,237,0,218,12,181,31,1883,1,322,4,1425,39,2467,169,2014,249,1958,180,2227
Huangpu,0,1,0,0,0,0,0,1,0,1,0,5,0,3,3,9,2,21,0,12,1,8,8,12,0,15,0,36,2,40,0,49,0,59,0,20,0,102,0,23,0,160,1,55,1,282,6,104,16,345,7,114
Jingan,0,1,0,0,1,1,1,3,0,2,0,3,0,2,6,4,0,6,0,10,0,3,1,3,0,12,0,15,0,32,0,44,0,28,0,48,8,62,0,2,3,105,5,65,10,94,8,167,8,94,4,160
Xuhui,2,2,3,10,0,9,0,6,0,7,2,10,0,1,4,14,2,10,1,23,2,5,8,28,1,39,0,61,1,45,4,126,2,85,0,106,2,165,1,2,5,326,6,271,6,85,34,1066,15,389,20,206
Changning,0,0,0,0,0,1,0,1,0,1,0,1,0,2,2,2,0,1,0,4,0,4,0,1,0,7,0,12,1,12,0,26,0,19,0,11,0,59,0,4,2,27,0,45,7,108,3,27,8,120,43,213
Putuo,0,5,1,0,0,2,0,1,0,4,0,1,0,0,1,5,0,0,0,9,0,3,1,6,0,23,0,25,0,18,1,30,0,21,0,34,2,36,1,8,1,68,4,66,3,78,6,107,6,140,6,9
Hongkou,0,0,0,1,0,0,1,3,2,4,0,2,0,0,1,4,1,3,0,6,0,10,1,6,0,19,1,6,0,12,0,23,0,13,0,26,0,29,0,4,1,49,1,26,4,4,7,66,1,83,8,120
Yangpu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,2,0,2,0,8,0,14,0,8,0,10,0,3,0,11,1,20,0,11,2,21,0,35,0,47,3,96,3,97,5,169
Baoshan,0,6,0,6,0,11,0,2,0,10,2,7,0,3,0,3,0,2,0,11,0,10,5,9,1,26,1,16,0,13,0,67,0,16,0,69,3,84,0,4,6,147,5,89,8,303,33,330,1,503,4,13
Minhang,0,7,0,13,1,11,1,24,2,12,0,17,1,10,9,20,2,24,1,26,1,17,4,78,1,58,4,49,18,247,10,112,0,305,2,254,0,490,4,202,15,957,20,599,9,361,29,959,19,761,59,333
Jiading,0,13,0,12,1,7,0,16,1,5,1,11,0,3,5,14,0,23,0,21,4,37,5,30,0,44,2,79,1,39,5,98,2,109,1,68,1,129,0,19,9,233,3,248,2,207,9,246,9,149,7,47
Jinshan,0,0,0,1,0,0,0,0,0,0,0,4,0,4,1,6,0,4,0,8,0,0,0,1,2,15,0,3,0,11,1,15,0,4,0,5,0,12,0,1,0,4,0,13,1,18,2,24,0,33,3,39
Songjiang,0,6,0,4,0,14,0,9,0,8,0,5,0,1,1,7,1,9,0,11,0,4,0,10,1,12,0,16,0,9,1,38,0,31,0,34,0,92,1,14,0,79,1,189,4,90,15,214,8,238,5,179
Qingpu,0,0,0,0,0,3,0,0,1,4,0,1,0,0,2,2,0,0,0,6,0,1,0,1,0,16,0,5,0,4,0,5,0,20,0,10,0,13,0,13,0,22,0,43,2,55,0,87,5,72,1,94
Fengxian,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,3,1,4,0,2,0,2,0,7,0,6,0,13,1,21,0,8,1,11,0,24,0,0,0,84,0,45,0,115,1,95,7,123,5,178
Chongming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,22,0,12,2,38,0,19,0,54,0,82,0,41,0,27,0,236,0,67,1,54,0,193,1,43

