address,Shanghai
2022-4-1,6311
2022-4-2,8226
2022-4-3,9006
2022-4-4,13354
2022-4-5,17077
2022-4-6,19982
2022-4-7,21222
2022-4-8,23624
2022-4-9,24943
2022-4-10,26087
2022-4-11,23342
2022-4-12,26330
2022-4-13,27719
2022-4-14,23072
2022-4-15,23513
2022-4-16,24820
2022-4-17,22248
2022-4-18,20416
2022-4-19,18901
2022-4-20,18495
2022-4-21,17629
2022-4-22,23370
2022-4-23,21058
2022-4-24,19455
2022-4-25,16980
2022-4-26,13562
2022-4-27,10622
2022-4-28,15032
2022-4-29,10181
2022-4-30,7872
2022-5-1,7333
2022-5-2,5669
2022-5-3,4982
2022-5-4,4651
2022-5-5,4269
