place,diagnose,GDP_per_area,GDP_per_person,population_density,immigrant_rate,kids_rate,big_kids_rate,middle_age_rate,old_age_rate,school_rate,hospital,hospital_rate,green_land_area_rate,park_green_land_rate,medical_organization,medical_organization_per_population,medical_organization_per_area,medical_population,medical_population_per_area,medical_population_per_population
Pudong,3.99,8.6,18.85,4698,0.4254,0.0758,0.0895,0.2026,0.1802,0.02697,153,0.00453,27.25,6.2,1174,2.065,0.97,31620,26.123,55.61
Huangpu,9.21,111,34.72,32185,0.4285,0.1239,0.181,0.39,0.4954,0.02812,68,0.01754,14.21,8.82,314,4.768,15.347,25234,1233.333,383.204
Xuhui,4.1,30.4,15.38,20356,0.3085,0.1181,0.1392,0.277,0.3,0.0531,119,0.01832,25.91,10.89,373,3.346,6.812,26920,491.6,241.5
Changning,2.64,37,20.44,18115,0.3182,0.0927,0.1297,0.2812,0.3226,0.03078,38,0.00879,29.38,13.47,275,3.964,7.18,11834,308.982,170.568
Jingan,3.28,49.7,17.25,26516,0.2629,0.1075,0.1398,0.3082,0.3707,0.02586,68,0.01113,22.05,8.64,361,3.692,9.789,21632,586.551,221.209
Putuo,1.6,18.3,7.81,22670,0.2955,0.0837,0.1019,0.2382,0.2944,0.03467,37,0.00589,26.49,12.76,218,1.754,3.976,10952,199.745,88.109
Hongkou,4.05,35.7,10.51,32317,0.2704,0.0909,0.139,0.2988,0.3886,0.03184,43,0.01113,18.57,6.76,154,2.03,6.559,11386,484.923,150.053
Yangpu,2.78,30.4,14.08,20501,0.2502,0.0947,0.1496,0.2736,0.3289,0.06536,49,0.00783,24.25,8.19,238,1.912,3.919,17064,280.981,137.06
Minhang,2.47,5.4,7.92,7167,0.4689,0.0704,0.0696,0.1656,0.1421,0.03386,90,0.00549,26.93,7.26,511,1.923,1.378,16161,43.59,60.822
Baoshan,1.93,5.1,6.82,8249,0.4051,0.0573,0.0666,0.1647,0.1699,0.02227,31,0.00276,29.66,9.33,307,1.373,1.133,10575,39.024,47.309
Jiading,1.29,5.1,14.87,3944,0.5652,0.0492,0.0544,0.1351,0.128,0.02218,55,0.00524,24.52,3.27,384,2.097,0.827,10980,23.654,59.967
Jinshan,0.2,1.3,9.44,1400,0.373,0.0671,0.0954,0.2605,0.2167,0.02367,33,0.00583,20.24,1.26,300,3.656,0.512,6869,11.721,83.707
Songjiang,1.16,2.1,7.26,3051,0.5839,0.0496,0.0611,0.1358,0.105,0.01954,27,0.00221,25.11,2.15,260,1.363,0.429,7856,12.971,41.17
Qinpu,0.93,1.6,8.81,1897,0.5693,0.0465,0.0617,0.1569,0.1297,0.01603,21,0.00267,21.87,1.81,363,2.855,0.542,6143,9.167,48.321
Fengxian,0.25,1.2,7.3,1663,0.5162,0.0513,0.0704,0.1913,0.1633,0.0253,20,0.00257,22.26,1.39,315,2.756,0.458,6304,9.171,55.153
Chongming,0.87,0.3,5.1,539,0.2297,0.0774,0.1486,0.4238,0.4077,0.03485,21,0.00747,32.22,0.48,358,5.599,0.302,4868,4.106,76.134
,9.21,111,34.72,32317,0.5839,0.1239,0.181,0.4238,0.4954,0.06536,153,0.01832,32.22,13.47,1174,5.599,15.347,31620,1233.333,383.204
,0.2,0.3,5.1,539,0.2297,0.0465,0.0544,0.1351,0.105,0.01603,20,0.00221,14.21,0.48,154,1.363,0.302,4868,4.106,41.17
